#Fastq_screen version: 0.11.1	#Aligner: bowtie2	#Reads in subset: 100000
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Drosophila	100176	35322	35.26	32564	32.51	4868	4.86	22661	22.62	4761	4.75
yakuba	100176	72995	72.87	153	0.15	31	0.03	22361	22.32	4636	4.63
Human	100176	93391	93.22	3031	3.03	1411	1.41	262	0.26	2081	2.08
aPasteurianus	100176	99889	99.71	238	0.24	29	0.03	1	0.00	19	0.02
yeast	100176	98482	98.31	1079	1.08	71	0.07	53	0.05	491	0.49
wolbachia	100176	98952	98.78	1038	1.04	173	0.17	12	0.01	1	0.00
bovine	100176	98227	98.06	19	0.02	24	0.02	309	0.31	1597	1.59
ecoli	100176	100107	99.93	52	0.05	6	0.01	1	0.00	10	0.01
pseudomonas	100176	100104	99.93	56	0.06	2	0.00	3	0.00	11	0.01
variovorax	100176	100101	99.94	53	0.05	4	0.00	5	0.00	13	0.01
mouse	100176	97970	97.81	5	0.00	3	0.00	281	0.28	1917	1.91
rabbit	100176	98101	97.93	7	0.01	5	0.00	266	0.27	1797	1.79

%Hit_no_genomes: 26.99
